LBLHFDTLT,GEWASGROEP
Groene selder - industrie,"Groenten, kruiden en sierplanten"
Rode kool - vers,"Groenten, kruiden en sierplanten"
Savooikool - vers,"Groenten, kruiden en sierplanten"
Wortel (niet-vroege) (consumptie) - vers,"Groenten, kruiden en sierplanten"
Courgettes - vers,"Groenten, kruiden en sierplanten"
Boerenkool - industrie,"Groenten, kruiden en sierplanten"
Peterselie - vers,"Groenten, kruiden en sierplanten"
Peterselie - industrie,"Groenten, kruiden en sierplanten"
Pompoenen - industrie,"Groenten, kruiden en sierplanten"
Witte kool - industrie,"Groenten, kruiden en sierplanten"
Andere kolen - industrie,"Groenten, kruiden en sierplanten"
Erwten (andere dan droog geoogst) - vers,"Groenten, kruiden en sierplanten"
Ajuinen (vroege) - vers,"Groenten, kruiden en sierplanten"
Butternutpompoenen - vers,"Groenten, kruiden en sierplanten"
Knolselder - vers,"Groenten, kruiden en sierplanten"
Groene selder - vers,"Groenten, kruiden en sierplanten"
Chinese kool - vers,"Groenten, kruiden en sierplanten"
Spruitkool - vers,"Groenten, kruiden en sierplanten"
Andere kolen - vers,"Groenten, kruiden en sierplanten"
Pastinaak - industrie,"Groenten, kruiden en sierplanten"
Spinazie - vers,"Groenten, kruiden en sierplanten"
Ajuinen (vroege) - industrie,"Groenten, kruiden en sierplanten"
"Bloeiende kamerplanten (kalanchoë, ...)","Groenten, kruiden en sierplanten"
Solitaire bomen,"Groenten, kruiden en sierplanten"
Schorseneer - industrie,"Groenten, kruiden en sierplanten"
Andere kruiden - vers,"Groenten, kruiden en sierplanten"
Schorseneer - vers,"Groenten, kruiden en sierplanten"
Ijsbergsla - industrie,"Groenten, kruiden en sierplanten"
Bloembollen en -knollen,"Groenten, kruiden en sierplanten"
Flageolets (voor de boon) - industrie,"Groenten, kruiden en sierplanten"
(Knol)venkel - vers,"Groenten, kruiden en sierplanten"
Raap - industrie,"Groenten, kruiden en sierplanten"
Radijs - vers,"Groenten, kruiden en sierplanten"
Koolrabi - industrie,"Groenten, kruiden en sierplanten"
Savooikool - industrie,"Groenten, kruiden en sierplanten"
Rabarber - vers,"Groenten, kruiden en sierplanten"
Rozelaars,"Groenten, kruiden en sierplanten"
Paprika - vers,"Groenten, kruiden en sierplanten"
Wortel (vroege) (consumptie) - vers,"Groenten, kruiden en sierplanten"
Rode kool - industrie,"Groenten, kruiden en sierplanten"
Pastinaak - vers,"Groenten, kruiden en sierplanten"
Koolrabi - vers,"Groenten, kruiden en sierplanten"
Snijbloemen - rozen,"Groenten, kruiden en sierplanten"
Snijbloemen andere dan rozen < 5 jaar,"Groenten, kruiden en sierplanten"
Raap - vers,"Groenten, kruiden en sierplanten"
Bladselder - vers,"Groenten, kruiden en sierplanten"
Broccoli - industrie,"Groenten, kruiden en sierplanten"
Komkommers - vers,"Groenten, kruiden en sierplanten"
Bladselder - industrie,"Groenten, kruiden en sierplanten"
Andere groenten - industrie,"Groenten, kruiden en sierplanten"
