HFDTLT,LBLHFDTLT,GEWASGROEP
9577,Snijbloemen andere dan rozen < 5 jaar,"Groenten, kruiden en sierplanten"
9578,Perk- en balkonplanten,"Groenten, kruiden en sierplanten"
9580,Vaste planten,"Groenten, kruiden en sierplanten"
9581,Laanbomen,"Groenten, kruiden en sierplanten"
9582,Rozelaars,"Groenten, kruiden en sierplanten"
9583,Bloeiende heesters,"Groenten, kruiden en sierplanten"
9585,Snijplanten >= 5 jaar,"Groenten, kruiden en sierplanten"
9586,Artisjok - vers,"Groenten, kruiden en sierplanten"
9587,Snijbloemen andere dan rozen >= 5 jaar,"Groenten, kruiden en sierplanten"
9589,Niet-bloeiende heesters,"Groenten, kruiden en sierplanten"
959,Peterselie - vers,"Groenten, kruiden en sierplanten"
9590,Solitaire bomen,"Groenten, kruiden en sierplanten"
960,Kervel - vers,"Groenten, kruiden en sierplanten"
9602,Boomkweek - fruitkweek,"Groenten, kruiden en sierplanten"
962,Kerstbomen,"Groenten, kruiden en sierplanten"
9620,Andere kolen - vers,"Groenten, kruiden en sierplanten"
964,Basilicum - vers verbruik,"Groenten, kruiden en sierplanten"
965,Bieslook - vers verbruik,"Groenten, kruiden en sierplanten"
983,Engelwortel - industrie,"Groenten, kruiden en sierplanten"
10,Bomenrijen,Houtachtige gewassen
4,Houtkanten en houtwallen <= 10 m breed,Houtachtige gewassen
602,Teeltmateriaal wijnstokken,Houtachtige gewassen
883,Bebossing (korte omlooptijd),Houtachtige gewassen
8910,Bebossing loofbomen-ecologisch,Houtachtige gewassen
8911,Bebossing loofbomen-economisch,Houtachtige gewassen
8912,Bebossing naaldbomen,Houtachtige gewassen
8915,Bebossing populieren,Houtachtige gewassen
894,Bebossing met contract voor 2008,Houtachtige gewassen
895,Bomen in groep,Houtachtige gewassen
9560,Boomkweek - bos- en haagplanten,Houtachtige gewassen
963,Wijmenaanplantingen,Houtachtige gewassen
9825,Heide in natuurbeheer,Houtachtige gewassen
1,Hoofdgebouwen,Landbouwinfrastructuur
2,Andere stallen en gebouwen,Landbouwinfrastructuur
201,Silomaïs,Maïs
202,Korrelmaïs,Maïs
100,Niet ingezaaid akkerland,Overige gewassen
6,Begraasde niet-landbouwgrond,Overige gewassen
638,Festulolium,Overige gewassen
639,Snijrogge,Overige gewassen
643,Gele mosterd,Overige gewassen
645,Phacelia,Overige gewassen
646,Tagetes (Afrikaantje),Overige gewassen
647,Andere niet-vlinderbloemige groenbedekker,Overige gewassen
648,Andere vlinderbloemige groenbedekker,Overige gewassen
653,Soedangras,Overige gewassen
656,Bladrammenas,Overige gewassen
659,Mengsel van niet-vlinderbloemige groenbedekkers,Overige gewassen
8,Volkstuinpark,Overige gewassen
81,Braakliggend land zonder minimale activiteit,Overige gewassen
82,Braakliggend land met minimale activiteit zonder EAG,Overige gewassen
85,Andere bedekking,Overige gewassen
884,Miscanthus,Overige gewassen
89,Braakliggend land met minimale activiteit met EAG,Overige gewassen
